,id,state,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,ViolentCrimesPerPop
577,578,25,3,0.02,0.54,0.0,0.98,0.06,0.01,0.36,0.41,0.27,0.4,0.04,1.0,0.68,0.66,0.14,0.76,0.45,0.11,0.59,0.69,0.55,0.53,0.27,0.29,0.41,0.32,0.0,0.04,0.08,0.11,0.6,0.3,0.65,0.38,0.58,0.19,0.69,0.17,0.43,0.21,0.2,0.58,0.88,0.9,0.98,0.81,0.56,0.61,0.0,0.04,0.01,0.07,0.08,0.11,0.15,0.02,0.02,0.03,0.03,0.92,0.02,0.24,0.25,0.58,0.65,0.18,0.87,0.02,0.29,0.5,0.01,0.95,0.8,0.04,0.45,0.31,0.02,0.21,0.57,0.53,0.51,0.44,0.6,0.72,0.64,0.42,0.54,0.6,0.0,0.0,0.12,0.86,0.84,0.9,0.89,0.03,0.19,0.27,0.0,0.04
578,579,18,3,0.05,0.32,0.04,0.94,0.06,0.03,0.37,0.52,0.33,0.42,0.07,1.0,0.25,0.64,0.32,0.54,0.45,0.19,0.48,0.3,0.28,0.26,0.27,0.25,0.82,0.28,0.03,0.22,0.23,0.32,0.34,0.23,0.6,0.5,0.61,0.49,0.36,0.57,0.41,0.57,0.59,0.41,0.65,0.66,0.78,0.68,0.67,0.69,0.01,0.12,0.01,0.81,0.67,0.61,0.58,0.14,0.1,0.08,0.07,0.94,0.05,0.18,0.15,0.33,0.4,0.26,0.54,0.08,0.54,0.5,0.06,0.76,0.51,0.08,0.32,0.31,0.41,0.28,0.09,0.08,0.08,0.22,0.24,0.25,0.24,0.29,0.21,0.25,0.05,0.04,0.07,0.77,0.51,0.69,0.7,0.04,0.27,0.1,0.0,0.08
579,580,9,3,0.01,0.4,0.16,0.85,0.04,0.05,0.3,0.44,0.24,0.57,0.03,1.0,0.37,0.53,0.06,0.51,0.64,0.29,0.52,0.39,0.33,0.34,0.23,0.3,0.27,0.32,0.01,0.19,0.38,0.47,0.18,0.48,0.51,0.69,0.32,0.49,0.28,0.35,0.44,0.39,0.39,0.47,0.56,0.58,0.57,0.52,0.54,0.65,0.02,0.42,0.01,0.14,0.19,0.23,0.22,0.08,0.09,0.1,0.09,0.74,0.09,0.16,0.16,0.44,0.49,0.4,0.5,0.07,0.55,0.0,0.02,0.84,0.48,0.24,0.56,0.19,0.18,0.65,0.41,0.38,0.34,0.31,0.38,0.45,0.43,0.33,0.55,0.79,0.0,0.0,0.22,0.79,0.76,0.82,0.86,0.01,0.25,0.08,0.0,0.14
580,581,34,3,0.0,0.59,0.03,0.96,0.05,0.04,0.44,0.42,0.22,0.46,0.0,0.0,0.41,0.53,0.13,0.48,0.51,0.1,0.65,0.39,0.27,0.26,0.31,0.24,0.49,0.43,0.01,0.13,0.2,0.35,0.18,0.32,0.42,0.12,0.39,0.3,0.33,0.26,0.26,0.32,0.3,0.6,0.8,0.81,0.88,0.73,0.4,0.52,0.0,0.15,0.0,0.2,0.19,0.22,0.22,0.08,0.06,0.07,0.06,0.9,0.03,0.32,0.34,0.63,0.59,0.73,0.87,0.04,0.31,0.5,0.04,0.35,0.89,0.11,0.58,0.79,0.09,0.2,0.3,0.27,0.25,0.71,0.65,0.67,0.81,0.61,0.84,1.0,0.0,0.0,0.16,0.7,0.52,0.56,0.75,0.1,0.03,0.17,0.0,0.04
581,582,34,3,0.0,0.57,0.04,0.88,0.31,0.04,0.25,0.32,0.2,0.65,0.02,1.0,0.72,0.62,0.18,0.82,0.6,0.08,0.68,0.7,0.62,0.62,0.16,0.0,0.43,0.42,0.0,0.06,0.23,0.27,0.5,0.14,0.45,0.32,0.44,0.17,0.64,0.15,0.45,0.23,0.2,0.47,0.87,0.87,0.88,1.0,0.43,0.43,0.0,0.01,0.01,0.35,0.31,0.32,0.31,0.26,0.2,0.19,0.17,0.78,0.13,0.17,0.18,0.5,0.59,0.15,0.82,0.03,0.33,0.5,0.0,0.97,0.74,0.0,0.62,0.35,0.0,0.1,0.59,0.56,0.52,0.66,0.72,0.85,0.69,0.46,0.52,0.51,0.0,0.0,0.31,0.69,0.77,0.77,0.82,0.01,0.24,0.35,0.0,0.16
582,583,29,3,0.01,0.38,0.12,0.89,0.03,0.01,0.4,0.41,0.26,0.59,0.0,0.0,0.14,0.32,0.37,0.41,0.7,0.54,0.55,0.17,0.17,0.16,0.16,0.11,0.28,0.26,0.03,0.51,0.44,0.55,0.21,0.63,0.33,0.56,0.45,0.62,0.31,0.54,0.28,0.49,0.53,0.45,0.62,0.62,0.64,0.7,0.6,0.55,0.01,0.2,0.0,0.88,0.65,0.53,0.45,0.05,0.03,0.02,0.02,0.97,0.02,0.22,0.2,0.37,0.4,0.32,0.63,0.11,0.61,0.0,0.04,0.58,0.61,0.34,0.8,0.25,0.42,0.56,0.01,0.02,0.04,0.05,0.08,0.08,0.07,0.31,0.0,0.28,0.0,0.0,0.02,0.78,0.56,0.7,0.75,0.03,0.13,0.03,0.0,0.27
583,584,36,3,0.01,0.31,0.03,0.96,0.03,0.01,0.35,0.43,0.28,0.66,0.0,0.0,0.15,0.32,0.08,0.43,0.75,0.57,0.57,0.19,0.19,0.18,0.26,0.09,0.08,0.16,0.03,0.45,0.38,0.59,0.16,0.66,0.35,0.74,0.52,0.8,0.33,0.58,0.38,0.6,0.62,0.39,0.41,0.47,0.36,0.43,0.48,0.57,0.01,0.31,0.0,0.33,0.24,0.22,0.19,0.05,0.03,0.02,0.02,0.93,0.04,0.18,0.16,0.33,0.37,0.31,0.46,0.05,0.49,0.5,0.03,0.64,0.45,0.19,0.74,0.0,0.42,0.5,0.07,0.07,0.07,0.15,0.16,0.16,0.17,0.63,0.41,0.61,0.0,0.0,0.06,0.95,0.63,0.88,0.89,0.01,0.28,0.18,0.0,0.13
584,585,34,3,0.1,0.53,0.06,0.85,0.38,0.03,0.36,0.36,0.24,0.45,0.11,1.0,0.7,0.68,0.2,0.78,0.48,0.1,0.51,0.69,0.66,0.67,0.5,0.24,0.43,0.77,0.02,0.05,0.13,0.19,0.67,0.14,0.56,0.26,0.58,0.11,0.76,0.21,0.35,0.25,0.24,0.51,0.87,0.88,0.93,0.75,0.36,0.43,0.01,0.05,0.04,0.17,0.21,0.28,0.32,0.11,0.12,0.15,0.16,0.78,0.09,0.2,0.22,0.55,0.59,0.24,0.88,0.04,0.25,0.5,0.07,0.82,0.84,0.11,0.69,0.56,0.01,0.06,0.38,0.37,0.38,0.57,0.59,0.71,0.54,0.47,0.43,0.53,0.0,0.0,0.28,0.29,0.78,0.7,0.64,0.07,0.24,0.39,0.26,0.09
585,586,9,3,0.01,0.39,0.02,0.98,0.05,0.02,0.3,0.43,0.25,0.47,0.02,0.79,0.47,0.6,0.05,0.62,0.48,0.17,0.6,0.49,0.44,0.43,0.55,0.21,0.42,0.5,0.01,0.11,0.3,0.35,0.29,0.26,0.61,0.67,0.36,0.36,0.41,0.38,0.38,0.33,0.36,0.43,0.77,0.8,0.8,0.75,0.36,0.6,0.0,0.12,0.0,0.1,0.1,0.18,0.26,0.02,0.02,0.04,0.05,0.83,0.04,0.1,0.11,0.43,0.49,0.28,0.71,0.04,0.44,0.5,0.01,0.83,0.67,0.17,0.55,0.42,0.06,0.0,0.44,0.42,0.39,0.37,0.48,0.52,0.5,0.34,0.56,0.39,0.0,0.0,0.1,0.81,0.78,0.78,0.86,0.04,0.08,0.08,0.0,0.09
586,587,13,3,0.11,0.52,1.0,0.15,0.02,0.01,0.58,0.57,0.41,0.33,0.12,1.0,0.17,0.49,0.2,0.24,0.42,0.77,0.4,0.18,0.18,0.36,0.15,0.15,0.41,0.24,0.19,0.73,0.48,0.59,0.28,0.74,0.35,0.35,0.45,0.48,0.36,0.63,0.56,0.75,0.74,0.58,0.19,0.17,0.14,0.2,0.46,0.49,0.16,0.86,0.0,0.33,0.3,0.41,0.4,0.02,0.02,0.02,0.02,0.95,0.03,0.38,0.35,0.51,0.48,0.56,0.31,0.34,0.52,0.5,0.14,0.64,0.34,0.45,0.37,0.56,0.7,0.41,0.09,0.09,0.11,0.06,0.12,0.16,0.17,0.52,0.28,0.42,0.02,0.0,0.02,0.8,0.5,0.69,0.71,0.16,0.12,0.1,1.0,0.56
587,588,48,3,0.0,0.9,0.0,0.7,0.0,1.0,0.68,0.59,0.42,0.4,0.0,0.0,0.02,0.29,0.45,0.12,0.55,1.0,0.26,0.01,0.0,0.0,0.0,0.14,0.26,0.16,0.06,1.0,1.0,1.0,0.1,1.0,0.07,0.21,0.49,0.52,0.22,0.24,0.49,0.46,0.39,1.0,0.5,0.48,0.56,0.5,0.08,0.0,0.01,0.29,0.02,0.31,0.35,0.36,0.39,0.39,0.39,0.36,0.37,0.0,1.0,1.0,1.0,0.98,0.91,1.0,0.56,1.0,0.65,0.0,0.02,0.54,0.59,0.68,0.29,0.63,1.0,1.0,0.01,0.01,0.02,0.0,0.03,0.05,0.0,0.65,0.7,0.37,0.0,0.0,0.54,0.71,0.83,0.89,0.84,0.02,0.14,0.0,0.0,0.52
588,589,42,3,0.11,0.35,0.06,0.89,0.26,0.02,0.28,0.46,0.26,0.56,0.13,1.0,0.34,0.52,0.38,0.59,0.59,0.26,0.63,0.39,0.35,0.35,0.43,0.23,0.21,0.51,0.05,0.17,0.21,0.33,0.34,0.27,0.52,0.25,0.51,0.26,0.47,0.34,0.49,0.33,0.35,0.52,0.73,0.77,0.84,0.69,0.4,0.46,0.02,0.15,0.05,0.37,0.44,0.48,0.55,0.24,0.25,0.24,0.26,0.81,0.16,0.3,0.25,0.39,0.52,0.15,0.68,0.09,0.4,0.5,0.07,0.86,0.59,0.11,0.31,0.1,0.04,0.07,0.2,0.2,0.21,0.44,0.4,0.44,0.4,0.48,0.48,0.63,0.0,0.04,0.27,0.84,0.74,0.77,0.81,0.02,0.86,0.85,0.0,0.12
589,590,56,3,0.03,0.4,0.02,0.9,0.14,0.12,0.89,0.94,0.95,0.21,0.0,0.0,0.13,0.74,0.75,0.55,0.27,0.2,0.28,0.24,0.22,0.22,0.11,0.12,0.13,0.34,0.05,0.56,0.12,0.15,0.66,0.27,0.44,0.09,1.0,0.21,0.57,0.34,0.89,0.41,0.38,0.38,0.63,0.68,0.72,0.63,0.66,0.6,0.01,0.25,0.01,0.98,0.94,0.84,0.8,0.24,0.2,0.16,0.14,0.88,0.05,0.15,0.11,0.29,0.41,0.26,0.36,0.14,0.62,0.0,0.03,0.77,0.32,0.05,0.43,0.48,0.26,0.28,0.13,0.12,0.12,0.19,0.21,0.24,0.19,0.84,0.3,0.15,0.01,0.0,0.1,0.37,0.24,0.18,0.34,0.03,0.2,0.02,0.0,0.12
590,591,40,3,0.01,0.39,0.47,0.44,0.02,0.02,0.5,0.48,0.39,0.61,0.0,0.0,0.05,0.22,0.15,0.27,0.71,0.6,0.5,0.09,0.1,0.14,0.15,0.1,0.09,0.16,0.04,0.89,0.4,0.54,0.13,0.73,0.15,0.3,0.62,0.5,0.26,0.64,0.44,0.64,0.67,0.41,0.33,0.33,0.21,0.36,0.41,0.4,0.01,0.4,0.0,0.82,0.71,0.58,0.5,0.05,0.04,0.03,0.02,0.95,0.01,0.24,0.21,0.34,0.3,0.45,0.54,0.15,0.6,0.0,0.05,0.27,0.57,0.38,0.94,0.31,0.97,1.0,0.0,0.01,0.02,0.0,0.06,0.06,0.09,0.78,0.42,0.35,0.04,0.0,0.02,0.74,0.58,0.69,0.76,0.03,0.09,0.0,0.0,0.41
591,592,42,3,0.07,0.32,0.99,0.12,0.11,0.14,0.39,0.49,0.31,0.41,0.08,1.0,0.14,0.43,0.08,0.26,0.48,0.81,0.53,0.16,0.2,0.31,0.23,0.16,0.19,0.19,0.13,0.72,0.35,0.57,0.21,0.7,0.42,0.18,0.37,0.45,0.33,0.84,0.78,0.83,0.88,0.56,0.0,0.0,0.0,0.04,0.53,0.52,0.16,1.0,0.01,0.47,0.51,0.54,0.58,0.1,0.09,0.09,0.09,0.82,0.15,0.46,0.32,0.34,0.38,0.36,0.27,0.23,0.53,0.5,0.16,0.47,0.28,1.0,0.7,0.02,0.43,0.41,0.04,0.04,0.04,0.16,0.21,0.24,0.21,0.49,0.25,0.51,0.11,0.01,0.08,0.75,0.56,0.74,0.77,0.02,0.54,0.71,0.33,0.87
592,593,47,3,0.04,0.66,0.04,0.93,0.17,0.01,0.53,0.33,0.22,0.14,0.05,1.0,0.94,0.84,0.73,0.84,0.17,0.02,0.31,0.85,0.79,0.77,0.77,0.7,0.45,0.61,0.0,0.01,0.01,0.01,0.88,0.07,0.68,0.26,0.45,0.04,0.81,0.11,0.24,0.21,0.17,0.63,0.95,0.97,0.94,0.87,0.24,0.23,0.0,0.03,0.01,0.28,0.23,0.4,0.47,0.08,0.06,0.09,0.09,0.92,0.03,0.14,0.18,0.72,0.73,0.41,0.93,0.01,0.04,1.0,0.02,0.87,0.91,0.07,0.29,0.81,0.01,0.06,0.37,0.36,0.37,0.54,0.5,0.67,0.54,0.3,0.4,0.1,0.0,0.0,0.11,0.34,0.51,0.54,0.25,0.04,0.18,0.02,0.0,0.01
593,594,34,3,0.0,0.49,0.03,0.93,0.14,0.06,0.32,0.42,0.25,0.47,0.02,1.0,0.59,0.69,0.08,0.64,0.5,0.15,0.68,0.57,0.47,0.45,0.46,0.0,0.44,0.49,0.0,0.06,0.28,0.36,0.31,0.19,0.7,0.51,0.32,0.35,0.45,0.26,0.4,0.33,0.31,0.51,0.8,0.81,0.9,0.78,0.42,0.55,0.0,0.09,0.01,0.13,0.17,0.3,0.3,0.08,0.1,0.15,0.14,0.77,0.13,0.2,0.21,0.55,0.61,0.28,0.79,0.05,0.34,0.5,0.01,0.87,0.74,0.0,0.36,0.38,0.03,0.19,0.43,0.4,0.36,0.57,0.55,0.63,0.56,0.36,0.65,0.88,0.0,0.0,0.27,0.68,0.84,0.72,0.86,0.01,0.31,0.12,0.0,0.06
594,595,9,3,0.02,0.51,0.04,0.94,0.11,0.02,0.33,0.35,0.24,0.6,0.04,1.0,0.62,0.65,0.3,0.71,0.62,0.04,0.7,0.58,0.56,0.54,0.63,0.75,0.41,0.88,0.0,0.05,0.2,0.29,0.42,0.18,0.61,0.38,0.48,0.31,0.52,0.2,0.36,0.23,0.22,0.5,0.87,0.86,0.91,0.91,0.44,0.66,0.0,0.02,0.01,0.08,0.08,0.15,0.16,0.03,0.03,0.05,0.05,0.83,0.09,0.19,0.21,0.55,0.57,0.24,0.93,0.02,0.21,0.5,0.01,0.9,0.89,0.15,0.6,0.44,0.01,0.0,0.51,0.49,0.48,0.51,0.53,0.57,0.61,0.42,0.51,0.4,0.0,0.0,0.17,0.79,0.89,0.95,0.86,0.06,0.09,0.05,0.0,0.03
595,596,39,3,0.03,0.39,0.19,0.84,0.01,0.01,0.4,0.44,0.29,0.52,0.05,1.0,0.2,0.34,0.17,0.41,0.64,0.48,0.75,0.21,0.2,0.2,0.21,0.22,0.32,0.29,0.04,0.38,0.32,0.53,0.11,0.6,0.28,0.65,0.39,0.69,0.26,0.5,0.39,0.59,0.58,0.42,0.55,0.53,0.52,0.46,0.4,0.4,0.02,0.32,0.0,0.06,0.05,0.04,0.05,0.0,0.0,0.0,0.0,0.96,0.03,0.2,0.19,0.4,0.4,0.39,0.62,0.06,0.46,0.5,0.04,0.79,0.61,0.3,0.59,0.15,0.31,0.17,0.06,0.05,0.06,0.12,0.15,0.14,0.19,0.47,0.22,0.4,0.01,0.0,0.03,0.87,0.72,0.89,0.87,0.04,0.2,0.01,0.0,0.11
596,597,36,3,0.06,0.36,0.37,0.6,0.19,0.26,0.27,0.42,0.26,0.49,0.08,1.0,0.53,0.61,0.17,0.66,0.5,0.21,0.43,0.63,0.66,0.76,0.36,0.25,0.5,0.41,0.03,0.19,0.27,0.33,0.61,0.29,0.56,0.17,0.66,0.15,0.68,0.39,0.58,0.46,0.45,0.44,0.59,0.56,0.75,0.48,0.45,0.55,0.05,0.54,0.07,0.43,0.5,0.52,0.54,0.64,0.65,0.61,0.59,0.59,0.32,0.33,0.27,0.34,0.4,0.32,0.42,0.28,0.68,0.0,0.07,0.76,0.4,0.07,0.45,0.23,0.14,0.25,0.8,0.81,0.86,0.43,0.51,0.73,0.49,0.47,0.43,0.53,0.32,0.01,0.63,0.6,0.69,0.73,0.72,0.03,0.42,1.0,0.1,0.15
597,598,25,3,0.07,0.43,0.04,0.93,0.05,0.1,0.33,0.51,0.29,0.43,0.08,1.0,0.42,0.56,0.17,0.43,0.46,0.4,0.43,0.43,0.35,0.35,0.32,0.28,0.35,0.27,0.04,0.22,0.29,0.37,0.33,0.45,0.54,0.63,0.41,0.37,0.46,0.44,0.47,0.46,0.47,0.47,0.58,0.59,0.56,0.55,0.6,0.62,0.03,0.31,0.02,0.31,0.31,0.32,0.32,0.12,0.11,0.1,0.09,0.81,0.09,0.21,0.19,0.43,0.49,0.37,0.52,0.08,0.6,0.0,0.09,0.67,0.5,0.28,0.43,0.0,0.22,0.22,0.36,0.34,0.32,0.4,0.46,0.52,0.49,0.55,0.66,0.54,0.03,0.0,0.17,0.8,0.58,0.75,0.72,0.09,0.13,0.14,0.45,0.24
598,599,18,3,0.05,0.35,0.27,0.76,0.05,0.04,0.38,0.51,0.33,0.41,0.07,1.0,0.23,0.59,0.22,0.39,0.46,0.31,0.33,0.24,0.28,0.3,0.2,0.18,0.25,0.29,0.05,0.32,0.29,0.49,0.2,0.29,0.6,1.0,0.14,0.89,0.23,0.81,0.39,0.74,0.8,0.43,0.41,0.42,0.41,0.45,0.6,0.7,0.05,0.5,0.01,0.46,0.42,0.44,0.49,0.09,0.07,0.07,0.07,0.92,0.04,0.23,0.19,0.37,0.42,0.35,0.47,0.12,0.59,0.0,0.09,0.66,0.46,0.09,0.29,0.33,0.71,0.08,0.08,0.07,0.08,0.23,0.26,0.26,0.24,0.38,0.18,0.26,0.03,0.02,0.07,0.62,0.49,0.71,0.6,0.05,0.21,0.06,0.0,0.21
599,600,1,3,0.0,0.51,0.66,0.47,0.02,0.01,0.98,0.85,0.92,0.43,0.0,0.0,0.09,0.4,0.65,0.3,0.51,0.71,0.31,0.18,0.14,0.21,0.12,0.3,0.39,0.14,0.03,0.81,0.54,0.57,0.36,0.48,0.28,0.34,0.65,0.48,0.42,0.31,0.8,0.35,0.35,0.47,0.34,0.31,0.22,0.34,0.51,0.51,0.02,0.68,0.0,0.95,0.7,0.63,0.78,0.11,0.07,0.06,0.07,0.94,0.01,0.28,0.22,0.35,0.4,0.33,0.46,0.17,0.52,0.5,0.02,0.63,0.45,0.0,0.32,0.69,0.62,0.35,0.07,0.08,0.1,0.05,0.08,0.08,0.07,0.69,0.08,0.31,0.0,0.0,0.04,0.79,0.47,0.48,0.59,0.07,0.05,0.0,0.0,0.03
600,601,36,4,1.0,0.41,0.56,0.27,0.43,0.45,0.37,0.5,0.31,0.41,1.0,1.0,0.3,0.45,0.16,0.38,0.43,0.64,0.35,0.3,0.38,0.56,0.27,0.19,0.3,0.3,1.0,0.51,0.48,0.55,0.36,0.6,0.38,0.24,0.55,0.33,0.49,0.46,0.68,0.57,0.55,0.59,0.29,0.29,0.4,0.28,0.22,0.19,1.0,0.85,1.0,0.37,0.44,0.52,0.55,0.75,0.78,0.82,0.8,0.28,0.63,0.5,0.39,0.42,0.53,0.43,0.09,0.57,0.84,0.0,1.0,0.78,0.09,0.37,0.5,0.15,0.44,0.72,0.48,0.49,0.5,0.33,0.4,0.53,0.38,0.45,0.49,0.56,1.0,1.0,0.85,0.52,0.74,0.73,0.71,0.9,1.0,1.0,0.71,0.87
601,602,6,4,0.04,0.46,0.2,0.54,0.28,0.53,0.36,0.53,0.32,0.33,0.06,1.0,0.4,0.57,0.29,0.41,0.39,0.4,0.31,0.4,0.35,0.42,0.3,0.31,0.33,0.31,0.04,0.32,0.32,0.38,0.31,0.38,0.59,0.4,0.4,0.36,0.43,0.63,0.53,0.75,0.73,0.56,0.49,0.48,0.55,0.45,0.4,0.39,0.04,0.56,0.05,0.57,0.62,0.63,0.65,0.79,0.76,0.7,0.66,0.51,0.54,0.53,0.44,0.5,0.45,0.58,0.29,0.55,0.76,0.0,0.04,0.81,0.34,0.17,0.21,0.38,0.17,0.4,0.57,0.63,0.68,0.57,0.57,0.63,0.57,0.62,0.67,0.15,0.0,0.0,0.59,0.48,0.42,0.75,0.67,0.04,0.22,0.19,0.0,0.39
602,603,36,4,0.0,0.23,0.04,0.95,0.06,0.01,0.35,0.45,0.29,0.63,0.0,0.0,0.21,0.32,0.18,0.53,0.71,0.43,0.81,0.27,0.29,0.28,0.37,0.11,0.25,0.39,0.01,0.36,0.27,0.36,0.33,0.43,0.34,0.83,0.44,0.44,0.48,0.61,0.39,0.61,0.64,0.35,0.48,0.56,0.5,0.53,0.48,0.53,0.01,0.25,0.0,0.25,0.33,0.27,0.28,0.07,0.08,0.06,0.06,0.91,0.02,0.13,0.1,0.25,0.34,0.21,0.47,0.04,0.51,0.5,0.01,0.8,0.43,0.05,0.41,0.0,0.28,0.16,0.08,0.07,0.08,0.2,0.23,0.24,0.2,0.51,0.2,0.46,0.0,0.0,0.12,0.78,0.6,0.71,0.73,0.01,0.32,0.05,0.0,0.23
603,604,6,4,0.07,0.26,0.06,0.77,0.64,0.09,0.25,0.39,0.21,0.5,0.09,0.99,0.72,0.58,0.22,0.87,0.41,0.14,0.48,0.81,0.94,0.97,0.61,0.33,0.53,0.69,0.02,0.11,0.06,0.06,1.0,0.08,0.64,0.59,0.82,0.05,1.0,0.47,0.6,0.63,0.58,0.29,0.7,0.73,0.92,0.59,0.52,0.53,0.01,0.07,0.07,0.54,0.54,0.59,0.56,0.68,0.6,0.59,0.52,0.7,0.13,0.1,0.09,0.25,0.35,0.19,0.52,0.11,0.53,0.5,0.05,0.87,0.47,0.16,0.21,0.33,0.04,0.11,1.0,1.0,1.0,0.79,0.85,1.0,0.81,0.47,0.47,0.11,0.01,0.03,0.54,0.32,0.53,0.47,0.51,0.07,0.2,0.15,0.0,0.1
604,605,12,4,0.04,0.45,0.56,0.53,0.05,0.09,0.41,0.54,0.35,0.41,0.05,1.0,0.22,0.53,0.19,0.28,0.55,0.44,0.41,0.21,0.2,0.26,0.16,0.12,0.3,0.24,0.05,0.43,0.32,0.5,0.18,0.35,0.47,0.4,0.27,0.51,0.29,0.88,0.44,0.81,0.88,0.51,0.36,0.33,0.42,0.29,0.63,0.64,0.05,0.62,0.01,0.31,0.32,0.39,0.45,0.08,0.07,0.08,0.09,0.88,0.09,0.35,0.3,0.45,0.43,0.48,0.45,0.27,0.6,0.0,0.09,0.48,0.46,0.25,0.35,0.73,0.49,0.17,0.11,0.1,0.09,0.27,0.32,0.33,0.33,0.53,0.5,0.43,0.03,0.04,0.11,0.4,0.45,0.52,0.52,0.05,0.16,0.04,1.0,0.59
605,606,21,4,0.01,0.47,0.02,0.98,0.02,0.01,0.39,0.55,0.33,0.27,0.03,1.0,0.36,0.76,0.13,0.51,0.36,0.17,0.34,0.35,0.28,0.27,0.35,0.55,0.17,0.77,0.01,0.13,0.18,0.29,0.25,0.12,0.77,0.39,0.22,0.45,0.31,0.46,0.31,0.5,0.5,0.52,0.7,0.72,0.84,0.62,0.65,0.7,0.0,0.09,0.0,0.49,0.43,0.45,0.38,0.04,0.03,0.03,0.02,0.97,0.03,0.21,0.21,0.52,0.59,0.38,0.66,0.08,0.43,0.5,0.01,0.9,0.62,0.08,0.22,0.6,0.1,0.19,0.14,0.11,0.09,0.31,0.29,0.28,0.25,0.19,0.1,0.26,0.0,0.0,0.03,0.66,0.59,0.61,0.66,0.02,0.16,0.17,0.0,0.24
606,607,54,4,0.0,0.33,0.44,0.65,0.02,0.0,0.37,0.33,0.22,0.75,0.0,0.0,0.16,0.13,0.08,0.39,0.87,0.42,0.72,0.22,0.27,0.32,0.16,0.52,1.0,0.29,0.02,0.53,0.42,0.51,0.27,0.34,0.18,0.15,0.52,0.32,0.49,0.48,0.3,0.42,0.47,0.41,0.54,0.48,0.46,0.59,0.33,0.29,0.01,0.24,0.0,0.0,0.0,0.1,0.14,0.0,0.0,0.01,0.01,0.97,0.01,0.2,0.18,0.34,0.33,0.36,0.64,0.08,0.42,0.5,0.04,0.46,0.65,0.17,0.85,0.13,0.48,0.33,0.04,0.05,0.07,0.07,0.11,0.13,0.11,0.76,0.18,0.22,0.01,0.0,0.04,0.72,0.83,0.83,0.75,0.02,0.13,0.07,0.0,0.13
607,608,18,4,0.03,0.49,0.01,0.96,0.03,0.12,0.48,0.49,0.3,0.32,0.05,1.0,0.35,0.65,0.06,0.46,0.47,0.27,0.6,0.34,0.27,0.26,0.34,0.28,0.5,0.37,0.02,0.2,0.27,0.44,0.13,0.38,0.46,0.72,0.27,0.65,0.25,0.51,0.31,0.5,0.52,0.53,0.69,0.71,0.72,0.7,0.39,0.39,0.01,0.14,0.0,0.34,0.27,0.26,0.26,0.06,0.04,0.03,0.03,0.88,0.05,0.2,0.2,0.54,0.57,0.45,0.68,0.11,0.46,0.5,0.02,0.9,0.66,0.13,0.29,0.67,0.17,0.21,0.12,0.11,0.09,0.28,0.26,0.26,0.3,0.3,0.08,0.32,0.0,0.0,0.07,0.68,0.64,0.63,0.77,0.06,0.12,0.12,0.0,0.11
608,609,36,4,0.02,0.32,0.17,0.83,0.02,0.09,0.33,0.46,0.3,0.63,0.03,1.0,0.16,0.26,0.17,0.46,0.73,0.51,0.92,0.21,0.19,0.2,0.14,0.15,0.16,0.27,0.03,0.44,0.49,0.6,0.14,0.56,0.28,0.38,0.46,0.5,0.2,0.47,0.53,0.44,0.47,0.46,0.4,0.47,0.47,0.54,0.31,0.28,0.02,0.43,0.01,0.2,0.16,0.13,0.13,0.08,0.06,0.04,0.04,0.7,0.13,0.29,0.24,0.35,0.41,0.31,0.5,0.13,0.47,0.5,0.03,0.78,0.48,0.43,0.45,0.21,0.28,0.32,0.1,0.1,0.09,0.14,0.16,0.16,0.18,0.48,0.17,0.63,0.05,0.0,0.17,0.87,0.85,0.98,0.93,0.02,0.28,0.35,0.0,0.59
